id;group_id;groupname;groupdesc;user_id
1;37454;Directives application Home Loan Account;Dam;9997
2;5808;FTP Savings Account;deposit Tasty Metal Bacon Implementation;77
3;18182;Soap methodology Albania;Home Namibia;39986
4;13949;zero administration;Multi-channelled Licensed;61838
5;19967;Cambridgeshire Mississippi;HDD;68030
6;17052;Small Frozen Sausages Planner;envisioneer Music Public-key;24102
7;44015;Rubber Buckinghamshire Games;incentivize Tuna copy;42515
8;52006;Mayotte;Industrial;84228
9;77513;Markets Chief;capacitor archive;57044
10;19598;Tasty Plastic Pizza scale;South Georgia and the South Sandwich Islands;58675
