id;username;parent_user_id;is_authrized;sub_user_id;user_id
1;mobile Fish;77969;true;59685;15601
2;Computer Practical Fresh Pants;60111;false;70807;65088
3;Tasty Metal Bacon;93855;false;77;18182
4;Soap methodology Albania;43194;false;29122;52477
5;enable Gorgeous Frozen Pants;23277;false;9060;78517
6;grey Cambridgeshire;59241;false;4645;85994
7;Yuan Renminbi Centers;1326;true;94220;96563
8;cross-platform access;9767;false;68423;24102
9;Bahamian Dollar Investment Account;83319;false;17336;90932
10;Digitized invoice;31171;false;52006;20794
